Chaitra N , BMSCS078 , AB+ , Bangalore , 8.34 , fees paid , 87% , bad , KCET ;  
Chandana M , BMSBT079 , AB+ , Bangalore , 7.63 , fees not paid , 81% , bad , MGMT ;  
Chetna P , BMSCV080 , B+ , Bangalore , 8.83 , fees paid , 79% , good , MGMT ;    
Eeshwar E , BMSEE081 , A- , Hyderabad, 8.00 , fees paid , 93% , good , COMEDK ;    
Eashwari P , BMSCV082 , A- , Bangalore , 7.03 , fees paid , 74% , good , MGMT ;    
Eashan N , BMSCV083 , A+ , Bangalore , 9.83 , fees not paid , 81% , good , KCET ;    
Gajal G , BMSCS084 , A+ , Kolkata , 8.53 , fees paid , 80% , good , KCET ;    
Gritvik N , BMSBT085 , A+ , Mumbai , 7.38 , fees paid , 71% , good , KCET ;    
Gauri N , BMSME086 , O+ , Bangalore , 6.97 , fees paid , 70% , bad , KCET ;    
Gowri S , BMSCV087 , B+ , Bangalore , 8.81 , fees paid , 79% , bad , COMEDK ;    
Gajendra B , BMSBT088 , B+ , Chennai , 6.00 , fees not paid , 69% , good , COMEDK ;    
Jagan M , BMSCS089 , B+ , Pune , 8.33 , fees paid , 90% , good , COMEDK ;    
Jalaja A , BMSCV090 , B-, Chennai , 9.10 , fees paid , 77% , good , MGMT ;    
Jyothi B , BMSCS091 , AB+ , Chennai , 8.23 , fees paid , 88% , bad , COMEDK ;    
Jagan G , BMSCS092 , O+ , Bangalore , 7.18 , fees paid , 83% , good , MGMT ;    
Jogendar R , BMSCV093 , O+ , Chennai , 7.18 , fees paid , 87% , bad , COMEDK ;  
Giridahr B , BMSCV094 , O+ , Pune , 8.45 , fees paid , 69% , good , COMEDK ; 
Aaditya Y , BMSCS001 , B+ , Bangalore, 8.54 , fees paid , 80% , good , KCET ; 
Aarya B , BMSCS002 , A- , Chennai , 8.34 , fees paid , 77% , good , COMEDK ; 
Ashwini T , BMSME003 , O- , Delhi , 9.20 , fees paid , 92% , good , COMEDK ;
Adhya M , BMSEC004 , A+ , Mumbai , 9.60 , fees paid , 96% , good , MGMT ;
Abhinav S , BMSCV005 , A- , Mumbai , 7.84 ,fees paid , 86% , good , COMEDK ; 
Aishwarya B , BMSCV006 , A- , Bangalore , 8.26 , fees paid , 89% , good , MGMT ;
Anita R , BMSCS007 , B+ , Kolkata, 6.80 , fees paid , 96% , bad , KCET ;
Akhilesh , BMSCS008 , B+ , Bangalore , 7.25 , fees paid , 80% , good , COMEDK ;
Balachandra S , BMSCV009 , B+ , Chennai , 8.65 , fees paid , 86% , good , COMEDK ;
Bharati H , BMSME010 , A+ , Bangalore , 9.65 , fees paid , 84% , good , KCET ;
Bumika D , BMSEE011 , A+ , Mumbai , 8.54 , fees paid , 76% , good , KCET ;
Bhuvan G , BMSEC012 , B+ , Bangalore , 9.32 , fees paid , 82% , good , COMEDK ;
Dhruti K , BMSCS013 , AB- , Kolkata , 6.95 , fees paid , 72% , bad , MGMT ;
Dhruvanth H , BMSCS014 , B+ , Bangalore , 8.66 , fees paid , 95% , good , COMEDK ;
Dushyanth J , BMSCS015 , B- , Hyderabad , 8.56 , fees not paid , 75% , good , MGMT ;
Ganvi K , BMSCS016 , O+ , Pune , 8.55 , fees not paid , 89% , good , KCET ;
Hemanth P , BMSCS017 , O+ , Delhi , 8.68 , fees paid , 82% , good , COMEDK ;
Hitha P , BMSCS018 , O+ , Bangalore , 8.26 , fees not paid , 93% , good , KCET ;
Hitesh D , BMSEE019 , B+ , Delhi , 8.54 , fees paid , 81% , good , MGMT ;
Jeevan K , BMSME020 , O+ , Mumbai , 6.44 , fees paid , 91% , good , COMEDK ;
Jinal N , BMSCV021 , A+ , Bangalore , 7.85 , fees paid , 75% , bad , COMEDK ;
Kishan S , BMSME022 , B+ , Delhi , 9.6 , fees paid , 97% , good , MGMT ;
Kumarswamy M , BMSCS023 , AB+ , Hyderabad , 8.26 , fees not paid , 76% , good , KCET ;
Kunal J , BMSEC024 , O+ , Delhi , 8.63 , fees paid , 84% , good , KCET ;
