Aadithya Y , PESCS001 , B+ , Bangalore, 8.54 , fees paid , 80% , good , KCET ; 
Aarya B , PESCS002 , A- , Chennai , 8.56 , fees paid , 77% , good , PESSAT ; 
Ashwini T , PESME003 , O- , Delhi , 9.20 , fees paid , 95% , good , PESSAT ;
Adhya M , PESEC004 , A- , Mumbai , 9.60 , fees paid , 96% , good , OTHERS ;
Abhinav S , PESCV005 , A+ , Mumbai , 7.84 ,fees paid , 86% , good , PESSAT ; 
Aishwarya B , PESCV006 , A- , Mumbai , 8.26 , fees paid , 89% , good , OTHERS ;
Anita G , PESCS007 , B+ , Kolkata, 6.80 , fees paid , 96% , good , KCET ;
Akhilesh P , PESCS008 , B+ , Bangalore , 7.25 , fees paid , 80% , good , PESSAT ;
Balachandra S , PESCV009 , B+ , Chennai , 8.65 , fees paid , 86% , good , PESSAT ;
Bhartesh H , PESME010 , A+ , Bangalore , 9.65 , fees paid , 84% , good , KCET ;
Boomika D , PESEE011 , A+ , Mumbai , 8.54 , fees paid , 76% , good , KCET ;
Bhuvan G , PESEC012 , B+ , Bangalore , 9.32 , fees paid , 82% , good , PESSAT ;
Dhruti S , PESCS013 , AB- , Kolkata , 6.95 , fees paid , 72% , bad , OTHERS ;
Dhruvanth H , PESCS014 , B+ , Bangalore , 8.66 , fees paid , 95% , good , PESSAT ;
Dushyanth G , PESCS015 , B- , Hyderabad , 8.56 , fees not paid , 75% , good , OTHERS ;
Ganavi K , PESCS016 , O+ , Pune , 8.55 , fees paid , 89% , good , KCET ;
Hemanth P , PESCS017 , O+ , Delhi , 8.68 , fees paid , 82% , good , PESSAT ;
Hitha P , PESCS018 , O+ , Mangalore , 8.26 , fees not paid , 93% , good , KCET ;
Hitesh D , PESEE019 , B+ , Delhi , 8.54 , fees paid , 81% , good , OTHERS ;
Jeevan K , PESME020 , O+ , Mumbai , 6.74 , fees paid , 91% , good , PESSAT ;
Jinal N , PESCV021 , A+ , Bangalore , 7.85 , fees paid , 75% , bad , PESSAT ;
Kishan S , PESME022 , B- , Hyderabad , 9.86 , fees paid , 97% , good , OTHERS ;
Kumarswamy M , PESCS023 , AB+ , Hyderabad , 8.26 , fees not paid , 76% , good , OTHERS ;
Kunal J , PESEC024 , o+ , Delhi , 8.63 , fees paid , 84% , good , KCET ;
Nishan E , PEEC025 , O- , Hyderabad , 8.33 , fees paid , 88% , good , KCET ;
Nishanth H , PESEE026 , O+ , Chennai , 9.54 , fees paid , 85% , good , OTHERS ;
Punya K , PESCS027 , A+ , Delhi , 6.88 , fees paid , 91% , good , OTHERS ;
Sachith B , PESME028 , AB- , Delhi , 7.32 , fees paid , 84% , good , PESSAT ;
Vikas G , PESCC029 , B- , Pune , 9.76 , fees paid , 83% , good , PESSAT ;
Vinay M , PESCS030 , B+ , Mangalore , 6.86 , fees not paid , 97% , good , KCET ;
Gagan M , PESCS031 , AB- , Kolkata , 9.51 , fees paid , 81% , good , KCET ;
Gagana P , PESCV032 , O+ , Kerala , 7.27 , fees not paid , 74% , bad , PESSAT ;
Pavan A , PESCS033 , A+ , Kolkata , 6.22 , fees paid , 86% , good , OTHERS ;
Purajit L , PESEE034 , B+ , Chennai , 6.77 , fees paid , 84% , good , KCET ;
Lohit H , PESME035 , O+ , Hyderabad , 8.64 , fees not paid , 83% , good , KCET ;
Mohit G , PESEC036 , AB+ , Pune , 6.20 , fees paid , 90% , good , OTHERS ;
Tejas M , PESCV037 , O+ , Mumbai , 7.67 , fees paid , 77% , good , OTHERS ;
Kiran J , PESCS038 , O+ , Mumbai , 7.87 , fees paid , 76% , good , PESSAT ;
Karan M , PESCS039 , A- , Hyderabad , 6.36 , fees paid , 75% , bad , PESSAT ;
Chiranth P , PESCS040 , AB+ , Chennai , 9.62 , fees paid , 80% , good , PESSAT ;
Eric D , PESME041 , A+ , Kerala , 6.99 , fees paid , 90% , good , KCET ; 
Sahana B , PESME042 , A- , Kerala , 7.17 , fees not paid , 84% , good , OTHERS ;
Swati S , PESEE043 , A- , Bangalore , 8.87 , fees paid , 88% , good , PESSAT ;
Shewta N , PESME044 , O+ , Delhi , 6.11 , fees not paid , 80% , good , PESSAT ;
Shubha K , PESEE045 , O+ , Delhi , 7.33 , fees paid , 82% , good , OTHERS ;
Shreyas S , PESCV046 , AB+ , Kerala , 6.87 , fees paid , 77% , good , OTHERS ;
Mukta M , PESCS047 , AB- , Kolkata , 8.49 , fees paid , 80% , good , PESSAT ;
Shyla D , PESCS048 , A+ , Mangalore , 8.72 , fees not paid , 79% , good , KCET ;
Shymala S , PESME049 , B+ , Mumbai , 9.36 , fees paid , 82% , good , KCET ;
Eminem R , PESEC050 , B+ , Hyderabad , 6.50 , fees not paid , 76% , bad , OTHERS ;
Samarth K , PESME051 , AB+ , Delhi , 8.50 , fees paid , 71% , bad , KCET ;
Rakshitha M , PESBT052 , AB- , Delhi , 8.12 , fees paid , 70% , good , OTHERS ;
Sara S , PESCV053 , A+ , Pune , 6.50 , fees paid , 81% , good , KCET ;
Sinchan T , PESCV054 , B+ , Mumbai , 8.17 , fees paid , 97% , good , KCET ;
Shinchan R , PESBT055 , O+ , Bangalore , 7.57 , fees paid , 88% , good , PESSAT ;
Tanuj P , PESCS056 , O+ , Bangalore , 6.99 , fees paid , 92% , good , PESSAT ;
Tanuja S , PESCS057 , O+ , Chennai , 7.36 , fees paid , 81% , good , PESSAT ; 
Gagana V , PESME058 , O+ , Bangalore , 8.96 , fees paid , 85% , good , PESSAT ;
John H , PESEE059 , A+ , Chennai , 9.76 , fees paid , 71% , good , PESSAT ;
Aadit S , PESBT060 , A- , Chennai , 6.79 , fees not paid , 82% , good , OTHERS ;  
Aakash N , PESBT061 , AB- , Kolkata , 7.69 , fees paid , 82% , good , KCET ;
Akash M , PESBT062 , AB- , Kolkata , 9.15 , fees paid , 83% , good , KCET ;
Aalok D , PESCV063 , A+ , Hyderabad , 8.13 , fees paid , 72% , good , OTHERS ;
Aanand H , PESCV064 , O+ , Chennai , 9.22 , fees paid , 77% , good , OTHERS ;
Anand T , PESEE065 , O+ , Kerala , 8.88 , fees paid , 86% , good , OTHERS ;
Amroota R , PESME066 , O+ , Chennai , 8.99 , fees paid , 82% , bad , PESSAT ;
Anush D , PESEE067 , A- , Chennai , 6.79 , fees not paid , 82% , good , OTHERS ;      
Ayush A , PESEC068 , A+ , Kolkata , 6.11 , fees paid , 88% , good , OTHERS ;       
Aalia B , PESEC069 , A+ , Mumbai , 8.79 , fees paid , 89% , good , OTHERS ;     
Amuliya N , PESCS070 , O+ , Kerala , 6.33 , fees paid , 80% , good , PESSAT ;  
Bhanu M , PESCS071 , O+ , Bangalore , 9.10 , fees paid , 70% , good , PESSAT ; 
Bhanushri J , PESCS072 , O+ , Kolkata , 8.18 , fees not paid , 80% , good , PESSAT ;
Bhanushree M , PESCS073 , O+ , Mumbai , 9.17 , fees paid , 86% , good , PESSAT ;     
Bhavana S , PESCV074 , O+ , Pune , 8.99 , fees paid , 82% , bad , OTHERS ;
Chahal P , PESEE075 , O+ , Hyderabad , 9.93 , fees paid , 90% , good , KCET ;
Chetan N , PESCS076 , B+ , Hyderabad , 8.66 , fees paid , 81% , good , PESSAT ;     
Chetak K , PESBT077 , O+ , Hyderabad , 6.22 , fees paid , 78% , good , PESSAT ; 
Chaitra N , PESCS078 , AB+ , Kerala , 8.34 , fees paid , 87% , bad , KCET ;  
Chandana M , PESBT079 , AB+ , Mumbai , 7.63 , fees not paid , 81% , bad , OTHERS ;  
Chetna P , PESCV080 , B+ , Bangalore , 8.83 , fees paid , 79% , good , OTHERS ;    
Eeshwar E , PESEE081 , A- , Hyderabad, 8.00 , fees paid , 93% , good , PESSAT ;    
Eashwari P , PESCV082 , A- , Bangalore , 7.03 , fees paid , 74% , good , OTHERS ;    
Eashan N , PESCV083 , A+ , Bangalore , 9.83 , fees not paid , 81% , good , KCET ;    
Gajal G , PESCS084 , A+ , Kolkata , 8.53 , fees paid , 80% , good , KCET ;    
Gritvik N , PESBT085 , A+ , Mumbai , 7.38 , fees paid , 71% , good , KCET ;    
Gauri N , PESME086 , O+ , Mumbai , 6.97 , fees paid , 70% , bad , KCET ;    
Gowri S , PESCV087 , B+ , Mumbai , 8.81 , fees paid , 79% , bad , PESSAT ;    
Gajendra B , PESBT088 , B+ , Chennai , 6.00 , fees not paid , 69% , good , PESSAT ;    
Jagadamba M , PESCS089 , B+ , Pune , 8.33 , fees paid , 90% , good , PESSAT ;    
Jalaja A , PESCV090 , B-, Chennai , 9.10 , fees paid , 77% , good , OTHERS ;    
Jyothi B , PESCS091 , AB+ , Chennai , 8.23 , fees paid , 88% , bad , PESSAT ;    
Jagan G , PESCS092 , O+ , Bangalore , 7.18 , fees paid , 83% , good , OTHERS ;    
Jogendar R , PESCV093 , O+ , Chennai , 7.18 , fees paid , 87% , bad , PESSAT ;  
Giridahr B , PESCV094 , O+ , Pune , 8.45 , fees paid , 69% , good , PESSAT ; 
Balaji V , PESME095 , O+ , Chennai , 6.33 , fees paid , 70% , good , KCET ;  
Jagadish G , PESBT096 , B+ , Mumbai , 7.99 , fees not paid , 90% , good , PESSAT ;  
Jai B , PESBT097 , B- , Mumbai , 8.00 , fees paid , 91% , good , PESSAT ;  
Lohit M , PESBT098 , A+ , Mumbai , 9.22 , fees paid , 84% , good , KCET ;  
Lochan J , PESME099 , A+ , Hyderabad , 8.16 , fees not paid , 73% , bad , PESSAT ;  
Lochan M , PESCS100 , A- , Bangalore , 7.11 , fees paid , 80% , good , PESSAT ;  
Rohit J , PESCS101 , AB- , Bangalore , 8.15 , fees paid , 74% , good , PESSAT ; 
Suhas B , PESCS102 , O+ , Bangalore , 9.10 , fees paid , 68% , good , KCET ; 
Shiva M , PESCS103 , A- , Hyderabad , 7.00 , fees paid , 65% , good , OTHERS ; 
Lalitha M , PESCS104 , B- , Bangalore , 7.99 , fees not paid , 90% , good , OTHERS ; 
